Sr.No,Ib (mA),Vb(mv),T1,T2,Normalizarion 100,Inc Volt,Normalization 80,
87,640,8330,30,30,0.642702339,5650,0.546300662,99.45370301
88,640,8330,30,30,0.650175622,5650,0.552652996,99.44735072
89,635,8330,30,30,0.657648905,5650,0.559005329,99.44099843
90,635,8330,30,30,0.665122188,5650,0.565357662,99.43464614
91,635,8330,30,30,0.672595471,5660,0.571709995,99.42829385
92,640,8330,30,30,0.680068754,5660,0.578062329,99.42194156
93,630,8320,30,30,0.687542037,5670,0.584414662,99.41558927
94,640,8320,30,30,0.69501532,5670,0.590766995,99.40923698
95,635,8320,30,30,0.702488603,5670,0.597119329,99.40288469
96,635,8320,30,30,0.709961886,5680,0.603471662,99.3965324
97,635,8320,30,30,0.717435169,5680,0.609823995,99.39018011
98,640,8320,30,30,0.724908452,5690,0.616176328,99.38382782
99,635,8320,30,30,0.732381735,5690,0.622528662,99.37747552
100,635,8320,30,30,0.739855018,5690,0.628880995,99.37112323
101,635,8320,30,30,0.747328301,5690,0.635233328,99.36477094
102,640,8320,30,30,0.754801584,5700,0.641585661,99.35841865
103,640,8320,30,30,0.762274867,5700,0.647937995,99.35206636
104,635,8320,30,30,0.76974815,5700,0.654290328,99.34571407
105,630,8320,30,30,0.777221433,5710,0.660642661,99.33936178
106,635,8320,30,30,0.784694716,5710,0.666994995,99.33300949
107,635,8320,30,30,0.792167999,5710,0.673347328,99.3266572
108,630,8320,30,30,0.799641282,5720,0.679699661,99.32030491
109,640,8320,30,30,0.807114565,5720,0.686051994,99.31395262
110,635,8320,30,30,0.814587848,5720,0.692404328,99.30760033
111,630,8320,30,30,0.822061131,5720,0.698756661,99.30124804
112,630,8320,30,30,0.829534414,5730,0.705108994,99.29489575
113,635,8320,30,30,0.837007697,5730,0.711461328,99.28854346
114,635,8320,30,30,0.84448098,5740,0.717813661,99.28219117
115,635,8320,30,30,0.851954264,5740,0.724165994,99.27583888
116,635,8310,30,30,0.859427547,5740,0.730518327,99.26948659
117,635,8310,30,30,0.86690083,5750,0.736870661,99.26313429
118,630,8310,30,30,0.874374113,5750,0.743222994,99.256782
119,635,8310,30,30,0.881847396,5750,0.749575327,99.25042971
120,635,8310,30,30,0.889320679,5760,0.755927661,99.24407742
121,635,8310,30,30,0.896793962,5760,0.762279994,99.23772513
122,630,8310,30,30,0.904267245,5760,0.768632327,99.23137284
123,640,8310,30,30,0.911740528,5760,0.77498466,99.22502055
124,640,8310,30,30,0.919213811,5770,0.781336994,99.21866826
125,635,8310,30,30,0.926687094,5770,0.787689327,99.21231597
126,635,8310,30,30,0.934160377,5770,0.79404166,99.20596368
127,635,8310,30,30,0.94163366,5780,0.800393994,99.19961139
128,635,8310,30,30,0.949106943,5780,0.806746327,99.1932591
129,635,8310,30,30,0.956580226,5780,0.81309866,99.18690681
130,640,8310,30,30,0.964053509,5780,0.819450993,99.18055452
131,640,8310,30,30,0.971526792,5790,0.825803327,99.17420223
132,635,8310,30,30,0.979000075,5790,0.83215566,99.16784994
133,630,8300,30,30,0.986473358,5790,0.838507993,99.16149765
134,635,8300,30,30,0.993946641,5800,0.844860327,99.15514536
135,635,8300,30,30,1.001419924,5800,0.85121266,99.14879306
